ISBN;Автор;Название;Серия;Номер в серии
978-5-17-010363-8;Сергей Лукьяненко;Холодные берега;Искатели неба;1
978-5-17-037092;Сергей Лукьяненко;Близится утро;Искатели неба;2
978-5-17-047716-6;Сергей Лукьяненко;Принцесса стоит смерти;Лорд с планеты Земля;1
5-170-398-63-8;Сергей Лукьяненко;Планета, которой нет;Лорд с планеты Земля;2
5-170-398-63-8;Сергей Лукьяненко;Стеклянное море;Лорд с планеты Земля;3
978-5-17-091925-3;Питер Уоттс;Ложная слепота;Ложная слепота;1
978-5-17-089361-4;Питер Уоттс;Эхопраксия;Ложная слепота;2
978-5-17-091382-4;Дмитрий Глуховский;Метро 2033;Метро;1
978-5-17-058788-9;Дмитрий Глуховский;Метро 2034;Метро;2
978-5-17-090538-6;Дмитрий Глуховский;Метро 2035;Метро;3
978-5-04-100014-1;Айзек Азимов;Я, робот;;
978-5-04-091708-2;Айзек Азимов;Конец вечности;;
978-5-04-089112-2;Лю Цысинь;Задача трех тел;В память о прошлом Земли;1
978-5-04-090294-1;Лю Цысинь;Темный лес;В память о прошлом Земли;2
978-5-04-091564-4;Лю Цысинь;Вечная жизнь Смерти;В память о прошлом Земли;3
978-5-17-118933-4;Фрэнк Герберт;Дюна;Хроники Дюны;1
978-5-17-099480-9;Фрэнк Герберт;Мессия Дюны;Хроники Дюны;2
978-5-17-100325-8;Фрэнк Герберт;Дети Дюны;Хроники Дюны;3
978-5-17-091922-2;Фрэнк Герберт;Бог-Император Дюны;Хроники Дюны;4
978-5-17-091920-8;Фрэнк Герберт;Еретики Дюны;Хроники Дюны;5
978-5-17-091923-9;Фрэнк Герберт;Капитул Дюны;Хроники Дюны;6
